
1642341570252 :: quotes :: {'symbols': 'NSE:VOLTAS-EQ,NSE:VOLTAS22JAN1320PE,NSE:VOLTAS22JANFUT'} :: 1642341570554 :: {'s': 'ok', 'd': [{'n': 'NSE:VOLTAS-EQ', 's': 'ok', 'v': {'ch': 32.8, 'chp': 2.58, 'lp': 1303.65, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1272.95, 'high_price': 1317.3, 'low_price': 1262.65, 'prev_close_price': 1270.85, 'volume': 1513277, 'short_name': 'VOLTAS-EQ', 'exchange': 'NSE', 'description': 'NSE:VOLTAS-EQ', 'original_name': 'NSE:VOLTAS-EQ', 'symbol': 'NSE:VOLTAS-EQ', 'fyToken': '10100000003718', 'tt': 1642291200}}, {'n': 'NSE:VOLTAS22JAN1320PE', 's': 'ok', 'v': {'ch': -40.45, 'chp': -54.08, 'lp': 34.35, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 65.2, 'high_price': 65.2, 'low_price': 29.55, 'prev_close_price': 74.8, 'volume': 212500, 'short_name': 'VOLTAS22JAN1320PE', 'exchange': 'NSE', 'description': 'NSE:VOLTAS22JAN1320PE', 'original_name': 'NSE:VOLTAS22JAN1320PE', 'symbol': 'NSE:VOLTAS22JAN1320PE', 'fyToken': '1011220127153755', 'tt': 1642291200}}, {'n': 'NSE:VOLTAS22JANFUT', 's': 'ok', 'v': {'ch': 42.2, 'chp': 3.34, 'lp': 1307.55, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1265.9, 'high_price': 1321.0, 'low_price': 1258.45, 'prev_close_price': 1265.35, 'volume': 3507000, 'short_name': 'VOLTAS22JANFUT', 'exchange': 'NSE', 'description': 'NSE:VOLTAS22JANFUT', 'original_name': 'NSE:VOLTAS22JANFUT', 'symbol': 'NSE:VOLTAS22JANFUT', 'fyToken': '101122012767828', 'tt': 1642291200}}]}

1642341813459 :: quotes :: {'symbols': 'NSE:LT-EQ,NSE:LT22JAN1900CE,NSE:LT22JANFUT'} :: 1642341813756 :: {'s': 'ok', 'd': [{'n': 'NSE:LT-EQ', 's': 'ok', 'v': {'ch': 26.35, 'chp': 1.31, 'lp': 2044.75, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 2014.0, 'high_price': 2049.95, 'low_price': 2007.0, 'prev_close_price': 2018.4, 'volume': 3124945, 'short_name': 'LT-EQ', 'exchange': 'NSE', 'description': 'NSE:LT-EQ', 'original_name': 'NSE:LT-EQ', 'symbol': 'NSE:LT-EQ', 'fyToken': '101000000011483', 'tt': 1642291200}}, {'n': 'NSE:LT22JAN1900CE', 's': 'ok', 'v': {'ch': 22.5, 'chp': 17.65, 'lp': 149.95, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 121.8, 'high_price': 153.0, 'low_price': 121.8, 'prev_close_price': 127.45, 'volume': 67275, 'short_name': 'LT22JAN1900CE', 'exchange': 'NSE', 'description': 'NSE:LT22JAN1900CE', 'original_name': 'NSE:LT22JAN1900CE', 'symbol': 'NSE:LT22JAN1900CE', 'fyToken': '1011220127121186', 'tt': 1642291200}}, {'n': 'NSE:LT22JANFUT', 's': 'ok', 'v': {'ch': 21.55, 'chp': 1.06, 'lp': 2046.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 2022.85, 'high_price': 2052.6, 'low_price': 2011.15, 'prev_close_price': 2025.05, 'volume': 5903520, 'short_name': 'LT22JANFUT', 'exchange': 'NSE', 'description': 'NSE:LT22JANFUT', 'original_name': 'NSE:LT22JANFUT', 'symbol': 'NSE:LT22JANFUT', 'fyToken': '101122012767719', 'tt': 1642291200}}]}

1642341813771 :: quotes :: {'symbols': 'NSE:TATACOMM-EQ,NSE:TATACOMM22JAN1480PE,NSE:TATACOMM22JANFUT'} :: 1642341814022 :: {'s': 'ok', 'd': [{'n': 'NSE:TATACOMM-EQ', 's': 'ok', 'v': {'ch': -0.25, 'chp': -0.02, 'lp': 1545.25, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1548.7, 'high_price': 1567.0, 'low_price': 1537.0, 'prev_close_price': 1545.5, 'volume': 915219, 'short_name': 'TATACOMM-EQ', 'exchange': 'NSE', 'description': 'NSE:TATACOMM-EQ', 'original_name': 'NSE:TATACOMM-EQ', 'symbol': 'NSE:TATACOMM-EQ', 'fyToken': '10100000003721', 'tt': 1642291200}}, {'n': 'NSE:TATACOMM22JAN1480PE', 's': 'ok', 'v': {'ch': 1.2, 'chp': 4.66, 'lp': 26.95, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 23.5, 'high_price': 28.0, 'low_price': 20.75, 'prev_close_price': 25.75, 'volume': 8000, 'short_name': 'TATACOMM22JAN1480PE', 'exchange': 'NSE', 'description': 'NSE:TATACOMM22JAN1480PE', 'original_name': 'NSE:TATACOMM22JAN1480PE', 'symbol': 'NSE:TATACOMM22JAN1480PE', 'fyToken': '1011220127155395', 'tt': 1642291200}}, {'n': 'NSE:TATACOMM22JANFUT', 's': 'ok', 'v': {'ch': -2.7, 'chp': -0.17, 'lp': 1548.25, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1549.5, 'high_price': 1571.35, 'low_price': 1541.0, 'prev_close_price': 1550.95, 'volume': 1180800, 'short_name': 'TATACOMM22JANFUT', 'exchange': 'NSE', 'description': 'NSE:TATACOMM22JANFUT', 'original_name': 'NSE:TATACOMM22JANFUT', 'symbol': 'NSE:TATACOMM22JANFUT', 'fyToken': '101122012758136', 'tt': 1642291200}}]}

1642341814037 :: quotes :: {'symbols': 'NSE:LALPATHLAB-EQ,NSE:LALPATHLAB22JAN4000PE,NSE:LALPATHLAB22JANFUT'} :: 1642341814319 :: {'s': 'ok', 'd': [{'n': 'NSE:LALPATHLAB-EQ', 's': 'ok', 'v': {'ch': -80.7, 'chp': -2.17, 'lp': 3637.3, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 3728.85, 'high_price': 3729.0, 'low_price': 3600.0, 'prev_close_price': 3718.0, 'volume': 119705, 'short_name': 'LALPATHLAB-EQ', 'exchange': 'NSE', 'description': 'NSE:LALPATHLAB-EQ', 'original_name': 'NSE:LALPATHLAB-EQ', 'symbol': 'NSE:LALPATHLAB-EQ', 'fyToken': '101000000011654', 'tt': 1642291200}}, {'n': 'NSE:LALPATHLAB22JAN4000PE', 's': 'ok', 'v': {'ch': 41.35, 'chp': 15.39, 'lp': 310.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 310.0, 'high_price': 310.0, 'low_price': 310.0, 'prev_close_price': 268.65, 'volume': 125, 'short_name': 'LALPATHLAB22JAN4000PE', 'exchange': 'NSE', 'description': 'NSE:LALPATHLAB22JAN4000PE', 'original_name': 'NSE:LALPATHLAB22JAN4000PE', 'symbol': 'NSE:LALPATHLAB22JAN4000PE', 'fyToken': '1011220127120651', 'tt': 1642291200}}, {'n': 'NSE:LALPATHLAB22JANFUT', 's': 'ok', 'v': {'ch': -82.35, 'chp': -2.22, 'lp': 3634.7, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 3723.85, 'high_price': 3723.85, 'low_price': 3593.6, 'prev_close_price': 3717.05, 'volume': 148625, 'short_name': 'LALPATHLAB22JANFUT', 'exchange': 'NSE', 'description': 'NSE:LALPATHLAB22JANFUT', 'original_name': 'NSE:LALPATHLAB22JANFUT', 'symbol': 'NSE:LALPATHLAB22JANFUT', 'fyToken': '101122012767714', 'tt': 1642291200}}]}

1642353426292 :: quotes :: {'symbol': 'NSE:VOLTAS-EQ,NSE:VOLTAS22JAN1320PE,NSE:VOLTAS22JANFUT'} :: 1642353426598 :: {'s': 'error', 'code': -310, 'message': 'Please provide a valid symbols'}

1642353452901 :: quotes :: {'symbols': 'NSE:VOLTAS-EQ,NSE:VOLTAS22JAN1320PE,NSE:VOLTAS22JANFUT'} :: 1642353453183 :: {'s': 'ok', 'd': [{'n': 'NSE:VOLTAS-EQ', 's': 'ok', 'v': {'ch': 32.8, 'chp': 2.58, 'lp': 1303.65, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1272.95, 'high_price': 1317.3, 'low_price': 1262.65, 'prev_close_price': 1270.85, 'volume': 1513277, 'short_name': 'VOLTAS-EQ', 'exchange': 'NSE', 'description': 'NSE:VOLTAS-EQ', 'original_name': 'NSE:VOLTAS-EQ', 'symbol': 'NSE:VOLTAS-EQ', 'fyToken': '10100000003718', 'tt': 1642291200}}, {'n': 'NSE:VOLTAS22JAN1320PE', 's': 'ok', 'v': {'ch': -40.45, 'chp': -54.08, 'lp': 34.35, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 65.2, 'high_price': 65.2, 'low_price': 29.55, 'prev_close_price': 74.8, 'volume': 212500, 'short_name': 'VOLTAS22JAN1320PE', 'exchange': 'NSE', 'description': 'NSE:VOLTAS22JAN1320PE', 'original_name': 'NSE:VOLTAS22JAN1320PE', 'symbol': 'NSE:VOLTAS22JAN1320PE', 'fyToken': '1011220127153755', 'tt': 1642291200}}, {'n': 'NSE:VOLTAS22JANFUT', 's': 'ok', 'v': {'ch': 42.2, 'chp': 3.34, 'lp': 1307.55, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1265.9, 'high_price': 1321.0, 'low_price': 1258.45, 'prev_close_price': 1265.35, 'volume': 3507000, 'short_name': 'VOLTAS22JANFUT', 'exchange': 'NSE', 'description': 'NSE:VOLTAS22JANFUT', 'original_name': 'NSE:VOLTAS22JANFUT', 'symbol': 'NSE:VOLTAS22JANFUT', 'fyToken': '101122012767828', 'tt': 1642291200}}]}
